source_record_id,listing_type,title,city,district,community,address,total_price,unit_price,monthly_rent,area,bedroom_count,living_room_count,layout,orientation,floor_description,floor_level,total_floors,decoration,surrounding_description,listing_date,data_source
SYN-SALE-000057,SALE,北京市东城区2室2厅东南向精装房,北京市,东城区,金地格林小镇,环城路5号,844.05,88105.8,,95.80,2,2,2室2厅,SOUTHEAST,低楼层/共33层,LOW,33,REFINED,近地铁，周边有商场和学校,2024-07-04,SYNTHETIC_CSV_V1
SYN-SALE-000058,SALE,北京市朝阳区2室2厅西北向精装房,北京市,朝阳区,曙光花园,,558.23,61731.17,,90.43,2,2,2室2厅,NORTHWEST,低楼层/共19层,LOW,19,REFINED,地铁口步行可达，交通便捷,2025-03-01,SYNTHETIC_CSV_V1
SYN-SALE-000059,SALE,北京市顺义区3室2厅多面采光精装房,北京市,顺义区,当代MOMA,创新路145号,509.67,42632.62,,119.55,3,2,3室2厅,MULTIPLE,低楼层/共19层,LOW,19,REFINED,临近商圈，购物便利,2026-01-20,SYNTHETIC_CSV_V1
SYN-SALE-000060,SALE,北京市西城区3室1厅多面采光精装房,北京市,西城区,北京城建琨廷,科苑路2号,1705.18,130875.39,,130.29,3,1,3室1厅,MULTIPLE,高楼层/共8层,HIGH,8,REFINED,临近商圈，购物便利,2025-12-20,SYNTHETIC_CSV_V1
SYN-SALE-000061,SALE,北京市朝阳区4室3厅西向简装房,北京市,朝阳区,金隅学府,学府路84号,1200.61,86443.57,,138.89,4,3,4室3厅,WEST,高楼层/共9层,HIGH,9,SIMPLE,周边教育资源丰富,2025-02-24,SYNTHETIC_CSV_V1
SYN-SALE-000062,SALE,北京市西城区5室2厅多面采光简装房,北京市,西城区,国风美唐,工业大道142号,1086.9,61745.44,,176.03,5,2,5室2厅,MULTIPLE,低楼层/共20层,LOW,20,SIMPLE,靠近产业园，通勤方便,2024-09-17,SYNTHETIC_CSV_V1
SYN-SALE-000063,SALE,北京市顺义区2室2厅南向精装房,北京市,顺义区,世纪城,友谊路184号,391.82,54624.16,,71.73,2,2,2室2厅,SOUTH,,UNKNOWN,25,REFINED,周边教育资源丰富,2026-03-05,SYNTHETIC_CSV_V1
SYN-SALE-000064,SALE,北京市昌平区1室1厅南向毛坯房,北京市,昌平区,保利茉莉公馆,新城路73号,370.8,59393.92,,62.43,1,1,1室1厅,SOUTH,高楼层/共25层,HIGH,25,ROUGH,公园环绕，环境优美,2024-12-24,SYNTHETIC_CSV_V1
SYN-SALE-000065,SALE,北京市朝阳区3室1厅南向简装房,北京市,朝阳区,远洋一方,科苑路15号,863.5,67329.37,,128.25,3,1,3室1厅,SOUTH,低楼层/共33层,LOW,33,SIMPLE,小区绿化好，安静宜居,2025-05-17,SYNTHETIC_CSV_V1
SYN-SALE-000066,SALE,北京市石景山区3室2厅南向简装房,北京市,石景山区,沿海赛洛城,文化路27号,520.43,38913.43,,133.74,3,2,3室2厅,SOUTH,低楼层/共32层,LOW,32,SIMPLE,靠近产业园，通勤方便,2024-07-20,SYNTHETIC_CSV_V1
SYN-SALE-000067,SALE,北京市石景山区2室2厅东南向精装房,北京市,石景山区,世纪风景,文化路181号,861.69,93610.88,,92.05,2,2,2室2厅,SOUTHEAST,中楼层/共25层,MIDDLE,25,REFINED,公园环绕，环境优美,2025-08-31,SYNTHETIC_CSV_V1
SYN-SALE-000068,SALE,北京市通州区2室2厅多面采光简装房,北京市,通州区,北京城建琨廷,科技大道24号,337.05,63545.83,,53.04,2,2,2室2厅,MULTIPLE,高楼层/共29层,HIGH,29,SIMPLE,周边教育资源丰富,2024-01-17,SYNTHETIC_CSV_V1
SYN-SALE-000069,SALE,北京市东城区4室3厅东南向未知装修房,北京市,东城区,云栖花园,和平路200号,1485.47,82503.0,,180.05,4,3,4室3厅,SOUTHEAST,高楼层/共32层,HIGH,32,UNKNOWN,公交线路较多，生活配套完善,2025-06-09,SYNTHETIC_CSV_V1
SYN-SALE-000070,SALE,北京市东城区3室1厅东南向精装房,北京市,东城区,金地格林小镇,朝阳街195号,784.68,92642.28,,84.70,3,1,3室1厅,SOUTHEAST,中楼层/共42层,MIDDLE,42,REFINED,靠近医院，生活便利,2024-08-02,SYNTHETIC_CSV_V1
SYN-SALE-000071,SALE,北京市通州区3室2厅东南向简装房,北京市,通州区,曙光花园,花园路23号,886.06,63663.01,,139.18,3,2,3室2厅,SOUTHEAST,低楼层/共23层,LOW,23,SIMPLE,靠近产业园，通勤方便,2025-07-14,SYNTHETIC_CSV_V1
SYN-SALE-000072,SALE,北京市昌平区2室2厅南向精装房,北京市,昌平区,中粮祥云小镇,建设路157号,606.65,63986.22,,94.81,2,2,2室2厅,SOUTH,高楼层/共9层,HIGH,9,REFINED,地铁口步行可达，交通便捷,2026-01-08,SYNTHETIC_CSV_V1
SYN-SALE-000073,SALE,北京市通州区3室2厅南向精装房,北京市,通州区,沿海赛洛城,长安街168号,811.42,61568.95,,131.79,3,2,3室2厅,SOUTH,低楼层/共44层,LOW,44,REFINED,公交线路较多，生活配套完善,2025-10-11,SYNTHETIC_CSV_V1
SYN-SALE-000074,SALE,北京市东城区2室2厅东南向精装房,北京市,东城区,当代MOMA,和平路106号,1401.0,145754.84,,96.12,2,2,2室2厅,SOUTHEAST,,UNKNOWN,36,REFINED,周边教育资源丰富,2025-02-09,SYNTHETIC_CSV_V1
SYN-SALE-000075,SALE,北京市海淀区4室3厅朝向未知其他装修房,北京市,海淀区,云栖花园,中山路134号,1184.07,72340.81,,163.68,4,3,4室3厅,UNKNOWN,中楼层/共23层,MIDDLE,23,OTHER,地铁口步行可达，交通便捷,2025-08-20,SYNTHETIC_CSV_V1
SYN-SALE-000076,SALE,北京市海淀区3室1厅东南向简装房,北京市,海淀区,矩阵小区,,896.23,91920.76,,97.50,3,1,3室1厅,SOUTHEAST,高楼层/共12层,HIGH,12,SIMPLE,公园环绕，环境优美,2025-11-28,SYNTHETIC_CSV_V1
SYN-SALE-000077,SALE,北京市朝阳区3室2厅南向简装房,北京市,朝阳区,金隅学府,花园路9号,858.49,110644.93,,77.59,3,2,3室2厅,SOUTH,低楼层/共16层,LOW,16,SIMPLE,靠近医院，生活便利,2024-12-14,SYNTHETIC_CSV_V1
SYN-SALE-000078,SALE,北京市西城区2室2厅西南向简装房,北京市,西城区,金隅学府,环城路89号,605.49,68447.36,,88.46,2,2,2室2厅,SOUTHWEST,中楼层/共41层,MIDDLE,41,SIMPLE,临近商圈，购物便利,2025-04-02,SYNTHETIC_CSV_V1
SYN-SALE-000079,SALE,北京市东城区3室2厅南向精装房,北京市,东城区,国风美唐,滨河路65号,1963.42,137977.24,,142.30,3,2,3室2厅,SOUTH,低楼层/共25层,LOW,25,REFINED,临近商圈，购物便利,2024-03-31,SYNTHETIC_CSV_V1
SYN-SALE-000080,SALE,北京市顺义区3室1厅朝向未知简装房,北京市,顺义区,新龙城,创新路135号,563.8,71620.87,,78.72,3,1,3室1厅,UNKNOWN,中楼层/共44层,MIDDLE,44,SIMPLE,地铁口步行可达，交通便捷,2024-09-30,SYNTHETIC_CSV_V1
SYN-SALE-000081,SALE,北京市丰台区1室1厅多面采光精装房,北京市,丰台区,当代MOMA,花园路115号,167.81,54288.74,,30.91,1,1,1室1厅,MULTIPLE,高楼层/共44层,HIGH,44,REFINED,地铁口步行可达，交通便捷,2026-03-02,SYNTHETIC_CSV_V1
SYN-SALE-000082,SALE,北京市西城区3室2厅南向其他装修房,北京市,西城区,万年生态城,友谊路175号,476.31,60041.34,,79.33,3,2,3室2厅,SOUTH,中楼层/共15层,MIDDLE,15,OTHER,小区绿化好，安静宜居,2025-04-08,SYNTHETIC_CSV_V1
SYN-SALE-000083,SALE,北京市海淀区1室1厅南向毛坯房,北京市,海淀区,万年花城,环城路176号,326.7,55618.47,,58.74,1,1,1室1厅,SOUTH,低楼层/共22层,LOW,22,ROUGH,公园环绕，环境优美,2024-01-21,SYNTHETIC_CSV_V1
SYN-SALE-000084,SALE,北京市丰台区3室2厅多面采光精装房,北京市,丰台区,云栖花园,中山路85号,481.38,49698.35,,96.86,3,2,3室2厅,MULTIPLE,高楼层/共41层,HIGH,41,REFINED,小区绿化好，安静宜居,2024-06-08,SYNTHETIC_CSV_V1
SYN-SALE-000085,SALE,北京市丰台区3室2厅多面采光简装房,北京市,丰台区,北京华侨城,人民路134号,752.7,54821.43,,137.30,3,2,3室2厅,MULTIPLE,低楼层/共9层,LOW,9,SIMPLE,临近商圈，购物便利,2025-08-06,SYNTHETIC_CSV_V1
SYN-SALE-000086,SALE,北京市朝阳区3室2厅北向简装房,北京市,朝阳区,京贸国际城,中山路46号,1024.7,112074.84,,91.43,3,2,3室2厅,NORTH,高楼层/共7层,HIGH,7,SIMPLE,靠近医院，生活便利,2026-05-26,SYNTHETIC_CSV_V1
SYN-SALE-000087,SALE,北京市石景山区1室南向简装房,北京市,石景山区,云栖花园,锦绣路133号,464.61,80409.78,,57.78,1,0,1室,SOUTH,中楼层/共8层,MIDDLE,8,SIMPLE,地铁口步行可达，交通便捷,2025-03-12,SYNTHETIC_CSV_V1
SYN-SALE-000088,SALE,北京市朝阳区2室1厅多面采光精装房,北京市,朝阳区,珠江罗马嘉园,和平路196号,1110.3,130270.76,,85.23,2,1,2室1厅,MULTIPLE,低楼层/共33层,LOW,33,REFINED,公交线路较多，生活配套完善,2024-10-12,SYNTHETIC_CSV_V1
SYN-SALE-000089,SALE,北京市朝阳区2室2厅西北向毛坯房,北京市,朝阳区,北京城建琨廷,花园路142号,436.13,58976.26,,73.95,2,2,2室2厅,NORTHWEST,低楼层/共38层,LOW,38,ROUGH,靠近医院，生活便利,2026-07-25,SYNTHETIC_CSV_V1
SYN-SALE-000090,SALE,北京市大兴区3室2厅南向简装房,北京市,大兴区,北京城建琨廷,科苑路85号,401.62,47511.8,,84.53,3,2,3室2厅,SOUTH,中楼层/共15层,MIDDLE,15,SIMPLE,小区绿化好，安静宜居,2026-05-08,SYNTHETIC_CSV_V1
SYN-SALE-000091,SALE,北京市东城区3室2厅多面采光精装房,北京市,东城区,沿海赛洛城,中山路1号,1022.49,101116.23,,101.12,3,2,3室2厅,MULTIPLE,高楼层/共17层,HIGH,17,REFINED,靠近产业园，通勤方便,2025-01-08,SYNTHETIC_CSV_V1
SYN-SALE-000092,SALE,北京市顺义区2室2厅东南向精装房,北京市,顺义区,万年生态城,和平路100号,423.49,47096.64,,89.92,2,2,2室2厅,SOUTHEAST,低楼层/共19层,LOW,19,REFINED,社区环境安静，附近有公园,2024-09-14,SYNTHETIC_CSV_V1
SYN-SALE-000093,SALE,北京市顺义区3室2厅朝向未知精装房,北京市,顺义区,西山壹号院,花园路48号,643.38,75611.73,,85.09,3,2,3室2厅,UNKNOWN,中楼层/共33层,MIDDLE,33,REFINED,地铁口步行可达，交通便捷,2024-09-25,SYNTHETIC_CSV_V1
SYN-SALE-000094,SALE,北京市东城区3室2厅北向其他装修房,北京市,东城区,翠微嘉园,创新路125号,628.25,61738.14,,101.76,3,2,3室2厅,NORTH,低楼层/共43层,LOW,43,OTHER,靠近产业园，通勤方便,2026-08-02,SYNTHETIC_CSV_V1
SYN-SALE-000095,SALE,北京市西城区4室3厅北向精装房,北京市,西城区,世纪风景,建设路107号,1589.52,102003.69,,155.83,4,3,4室3厅,NORTH,,UNKNOWN,44,REFINED,公园环绕，环境优美,2026-01-09,SYNTHETIC_CSV_V1
